Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Body Color,Head Color,Leg Color,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S149854817,Northern Pygmy-Owl,Glaucidium gnoma,8804,X,US-UT,Emery,L27080225,Cabin,38.815184,-110.692396,2023-09-14,,Light Brown,Brown,Yellow,eBird - Casual Observation,,0,,,1,,,,
S149854864,Northern Pygmy-Owl,Glaucidium gnoma,8804,X,US-UT,Emery,L27080225,Cabin,38.815184,-110.692396,2023-09-14,,Light Brown,Brown,Yellow,eBird - Casual Observation,,0,,,1,,,,
S147298994,Belted Kingfisher,Megaceryle alcyon,10022,X,CA-ON,Parry Sound,L26589448,Cottage,45.621053,-80.421,2023-08-15,09:41 AM,Light Brown,Blue,Pink,eBird - Casual Observation,,0,,,1,,,,
S153135256,Acorn Woodpecker,Melanerpes formicivorus,10927,X,US-CA,Contra Costa,L27695504,Golf Guy,37.82913,-121.94835,2023-10-26,04:52 PM,Black,Red,Grey,eBird - Casual Observation,,0,,,1,,,,
S148771920,Downy Woodpecker,Dryobates pubescens,11175,X,US-MN,Crow Wing,L26866556,Karen’s House,46.472745,-93.949242,2023-09-02,09:14 AM,White,Black,Grey,eBird - Casual Observation,,0,,,1,,,,
S146000398,Nuttall's Woodpecker,Dryobates nuttallii,11185,X,US-KS,Brown,L26023516,Home,39.683228,-95.78558,2023-07-30,,Grey,Red,Black,eBird - Casual Observation,,0,,,1,,,,
S144931182,Nuttall's Woodpecker,Dryobates nuttallii,11185,X,US-CA,Contra Costa,L26023043,Home,37.772798,-121.955052,2023-07-18,09:58 AM,Grey,Red,Black,eBird - Casual Observation,,0,,,1,,,,
S146178370,Nuttall's Woodpecker,Dryobates nuttallii,11185,X,US-CA,Contra Costa,L26023043,Home,37.772798,-121.955052,2023-08-01,07:27 AM,Grey,Red,Black,eBird - Casual Observation,,0,,,1,,,,
S148446509,Hairy Woodpecker,Dryobates villosus,11202,X,US-MN,Hubbard,L26821489,Jim’s Cottage,47.00078,-94.924378,2023-08-30,09:14 AM,White,Black,Grey,eBird - Casual Observation,,0,,,1,,,,
S147385562,Hairy Woodpecker,Dryobates villosus,11202,X,CA-ON,Parry Sound,L26589448,Cottage,45.621053,-80.421,2023-08-16,06:49 AM,White,Black,Grey,eBird - Casual Observation,,0,,,1,,,,
S147384529,Pileated Woodpecker,Dryocopus pileatus,11527,X,CA-ON,Parry Sound,L26589448,Cottage,45.621053,-80.421,2023-08-16,06:20 AM,Black,Red,Black,eBird - Casual Observation,,0,,,1,,,,
S159952166,Northern Flicker,Colaptes auratus,11665,X,US-CA,Contra Costa,L26291492,Home,37.772468,-121.954731,2024-01-27,01:07 PM,Brown ,Chestnut,Grey,eBird - Casual Observation,,0,,,1,,,,
S163573603,Northern Flicker,Colaptes auratus,11665,X,US-CA,Contra Costa,L26023043,Home,37.772798,-121.955052,2024-03-03,08:30 AM,Brown ,Chestnut,Grey,eBird - Casual Observation,,0,,,1,,,,
S147385632,Northern Flicker,Colaptes auratus,11665,X,CA-ON,Parry Sound,L26604930,Cottage,45.620504,-80.420971,2023-08-16,06:52 AM,Brown ,Chestnut,Grey,eBird - Casual Observation,,0,,,1,,,,
S165379983,Chimango Caracara,Daptrius chimango,11735,X,CL-RM,San José de Maipo,L29968538,Picnic Stop,-33.665219,-70.34979,2024-03-20,03:20 PM,Light Brown,Brown,Yellow,eBird - Casual Observation,,0,,,1,,,,
S177866858,American Kestrel,Falco sparverius,11791,X,BS-MH,,L32505612,Cricketers,26.669963,-77.113276,2024-05-28,,Chestnut,Blue Grey,Orange,eBird - Casual Observation,,0,,,1,,,,
S151453779,Rose-ringed Parakeet,Psittacula krameri,12111,X,IT-42,,L27380858,Genoa,44.412079,8.932,2023-09-29,01:54 PM,Light Green,Light Green,Pink,eBird - Casual Observation,,0,,,1,,,,
S156908041,Monk Parakeet,Myiopsitta monachus,12576,X,ES-CT,Barcelona,L28391066,Park Guell,41.413863,2.152029,2023-12-23,11:13 AM,Light Green,Grey,Pink,eBird - Casual Observation,,0,,,1,,,,
S151453746,Monk Parakeet,Myiopsitta monachus,12576,X,ES-VC,Valencia,L27380848,Serrano Towers,39.48031,-0.3757,2023-10-05,09:10 AM,Light Green,Grey,Pink,eBird - Casual Observation,,0,,,1,,,,
S151453735,Red-masked Parakeet,Psittacara erythrogenys,12953,X,ES-VC,Valencia,L27380842,Cathedral,39.476623,-0.375501,2023-10-05,09:22 AM,Light Green,Red,Pink,eBird - Casual Observation,,0,,,1,,,,
S165883243,Rufous-banded Miner,Geositta rufipennis,14314,X,CL-AN,San Pedro de Atacama,L30066674,Pedras Rojas,-23.826387,-67.871055,2024-03-24,08:21 PM,Light Grey,Light Brown,Grey,eBird - Casual Observation,,0,,,1,,,,
S145062686,Western Wood-Pewee,Contopus sordidulus,16603,X,US-CA,Contra Costa,L26023043,Home,37.772798,-121.955052,2023-07-19,06:30 PM,Grey,Brown,Black,eBird - Casual Observation,,0,,,1,,,,
S180617295,Dusky Flycatcher,Empidonax oberholseri,16657,X,US-CA,Calaveras,L33138485,Vista Point,38.409391,-120.138533,2024-06-10,,Light Brown,Light Grey,Black,eBird - Casual Observation,,0,,,1,,,,
S145680795,Western Flycatcher (Pacific-slope),Empidonax difficilis [difficilis Group],16667,X,US-CA,Marin,L26214127,Ross Park,37.960511,-122.554295,2023-07-26,11:19 AM,Light Brown,Light Green,Black,eBird - Casual Observation,,0,,,1,,,,
S145107981,Black Phoebe,Sayornis nigricans,16688,X,US-KS,Brown,L26023516,Home,39.683228,-95.78558,2023-07-20,,White,Black ,Black,eBird - Casual Observation,,0,,,1,,,,
S145107617,Black Phoebe,Sayornis nigricans,16688,X,US-CA,Contra Costa,L26023043,Home,37.772798,-121.955052,2023-07-20,09:25 AM,White,Black ,Black,eBird - Casual Observation,,0,,,1,,,,
S145107915,Black Phoebe,Sayornis nigricans,16688,X,US-CA,Contra Costa,L26023043,Home,37.772798,-121.955052,2023-07-20,09:32 AM,White,Black ,Black,eBird - Casual Observation,,0,,,1,,,,
S146135251,Black Phoebe,Sayornis nigricans,16688,X,US-CA,Contra Costa,L26023043,Home,37.772798,-121.955052,2023-07-31,03:48 PM,White,Black ,Black,eBird - Casual Observation,,0,,,1,,,,
S154007704,Black Phoebe,Sayornis nigricans,16688,X,US-CA,Contra Costa,L26023043,Home,37.772798,-121.955052,2023-11-08,06:24 AM,White,Black ,Black,eBird - Casual Observation,,0,,,1,,,,
S153361541,Black Phoebe,Sayornis nigricans,16688,X,US-CA,Santa Clara,L27739827,Vineet’s,37.339059,-122.075193,2023-10-29,10:27 AM,White,Black ,Black,eBird - Casual Observation,,0,,,1,,,,
S171200796,Say's Phoebe,Sayornis saya,16699,X,US-CA,Contra Costa,L26291492,Home,37.772468,-121.954731,2024-04-30,,Orange,Grey,Black,eBird - Casual Observation,,0,,,1,,,,
S165884005,Rufous-naped Ground-Tyrant,Muscisaxicola rufivertex,16785,X,CL-AN,San Pedro de Atacama,L30066674,Pedras Rojas,-23.826387,-67.871055,2024-03-24,08:27 PM,Blue Grey,Chestnut,Black,eBird - Casual Observation,,0,,,1,,,,
S168586657,Cassin's Kingbird,Tyrannus vociferans,17146,X,US-CA,Monterey,L30507545,Hacienda,36.526046,-121.682563,2024-04-14,,Yellow,Grey,Grey,eBird - Casual Observation,,0,,,1,,,,
S168251418,Western Kingbird,Tyrannus verticalis,17152,X,US-CA,Monterey,L30507545,Hacienda,36.526046,-121.682563,2024-04-12,,Yellow,Blue Grey,Grey,eBird - Casual Observation,,0,,,1,,,,
S168251551,Western Kingbird,Tyrannus verticalis,17152,X,US-CA,Monterey,L30507545,Hacienda,36.526046,-121.682563,2024-04-12,,Yellow,Blue Grey,Grey,eBird - Casual Observation,,0,,,1,,,,
S168251726,Western Kingbird,Tyrannus verticalis,17152,X,US-CA,Monterey,L30507545,Hacienda,36.526046,-121.682563,2024-04-12,08:10 AM,Yellow,Blue Grey,Grey,eBird - Casual Observation,,0,,,1,,,,
S148771756,Yellow-throated Vireo,Vireo flavifrons,18867,X,US-MN,Crow Wing,L26866556,Karen’s House,46.472745,-93.949242,2023-09-02,09:14 AM,Grey,Yellow,Black,eBird - Casual Observation,,0,,,1,,,,
S145108279,Warbling Vireo,Vireo gilvus,18890,X,US-KS,Brown,L26023516,Home,39.683228,-95.78558,2023-07-20,,Light Green,Grey,Black,eBird - Casual Observation,,0,,,1,,,,
S148776515,Red-eyed Vireo,Vireo olivaceus,18910,X,US-MN,Crow Wing,L26893564,Beach Rd,46.474484,-93.934666,2023-09-02,09:39 AM,Light Green,Grey,Black,eBird - Casual Observation,,0,,,1,,,,
S147293178,Red-eyed Vireo,Vireo olivaceus,18910,X,CA-ON,Parry Sound,L26589448,Cottage,45.621053,-80.421,2023-08-15,,Light Green,Grey,Black,eBird - Casual Observation,,0,,,1,,,,
S147293529,Red-eyed Vireo,Vireo olivaceus,18910,X,CA-ON,Parry Sound,L26589448,Cottage,45.621053,-80.421,2023-08-15,08:15 AM,Light Green,Grey,Black,eBird - Casual Observation,,0,,,1,,,,
S145108100,Steller's Jay,Cyanocitta stelleri,20879,X,US-KS,Brown,L26023516,Home,39.683228,-95.78558,2023-07-20,,Blue,Black,Black,eBird - Casual Observation,,0,,,1,,,,
S146599556,Steller's Jay,Cyanocitta stelleri,20879,X,US-CA,Calaveras,L26428605,Cabin,38.247725,-120.344165,2023-08-06,08:17 AM,Blue,Black,Black,eBird - Casual Observation,,0,,,1,,,,
S155498029,Steller's Jay,Cyanocitta stelleri,20879,X,US-CA,Contra Costa,L26023043,Home,37.772798,-121.955052,2023-11-30,02:33 PM,Blue,Black,Black,eBird - Casual Observation,,0,,,1,,,,
S148404994,Blue Jay,Cyanocitta cristata,20899,X,US-MN,Hubbard,L26821489,Jim’s Cottage,47.00078,-94.924378,2023-08-29,03:00 PM,Blue,Light Blue,Black,eBird - Casual Observation,,0,,,1,,,,
S148598267,Blue Jay,Cyanocitta cristata,20899,X,US-MN,Hubbard,L26821489,Jim’s Cottage,47.00078,-94.924378,2023-08-31,09:04 AM,Blue,Light Blue,Black,eBird - Casual Observation,,0,,,1,,,,
S147385859,Blue Jay,Cyanocitta cristata,20899,X,CA-ON,Parry Sound,L26589448,Cottage,45.621053,-80.421,2023-08-16,06:57 AM,Blue,Light Blue,Black,eBird - Casual Observation,,0,,,1,,,,
S147589351,Blue Jay,Cyanocitta cristata,20899,X,CA-ON,Parry Sound,L26589448,Cottage,45.621053,-80.421,2023-08-19,07:17 AM,Blue,Light Blue,Black,eBird - Casual Observation,,0,,,1,,,,
S146686696,California Scrub-Jay,Aphelocoma californica,20908,X,US-CA,Contra Costa,L26023043,Home,37.772798,-121.955052,2023-08-07,07:38 AM,Light Blue,Blue,Black,eBird - Casual Observation,,0,,,1,,,,
S150415441,Eurasian Magpie,Pica pica,21076,X,IT-21,,L27159599,Stresa,45.885627,8.535828,2023-09-21,,Blue Grey,Black,Black,eBird - Casual Observation,,0,,,1,,,,
S171996643,Black-billed Magpie,Pica hudsonia,21085,X,US-MT,Beaverhead,L31275469,Beaverhead Lodge,45.220374,-112.640288,2024-05-04,,Blue Grey,Black,Black,eBird - Casual Observation,,0,,,1,,,,
S168474245,Yellow-billed Magpie,Pica nuttalli,21086,X,US-CA,Monterey,L30604624,Hacienda,36.532964,-121.6707,2024-04-13,03:13 PM,Blue Grey,Black,Black,eBird - Casual Observation,,0,,,1,,,,
S189426798,Clark's Nutcracker,Nucifraga columbiana,21093,X,US-CA,Alpine,L35291743,Moke Wilderness,38.49891,-119.978423,2024-07-29,,Blue Grey,Grey,Black,eBird - Casual Observation,,0,,,1,,,,
S156250606,American Crow,Corvus brachyrhynchos,21168,X,US-CA,Contra Costa,L26023043,Home,37.772798,-121.955052,2023-12-13,09:32 AM,Black,Black,Black,eBird - Casual Observation,,0,,,1,,,,
S145063912,American Crow,Corvus brachyrhynchos,21168,X,US-CA,Contra Costa,L26059772,Iron Horse Middle School,37.770421,-121.956619,2023-07-19,07:01 PM,Black,Black,Black,eBird - Casual Observation,,0,,,1,,,,
S148598281,American Crow,Corvus brachyrhynchos,21168,X,US-MN,Hubbard,L26821489,Jim’s Cottage,47.00078,-94.924378,2023-08-31,09:04 AM,Black,Black,Black,eBird - Casual Observation,,0,,,1,,,,
S184367290,Fish Crow,Corvus ossifragus,21181,X,US-NC,Dare,L34059311,Jockeys Ridge,35.964705,-75.632216,2024-06-29,,Black,Black,Black,eBird - Casual Observation,,0,,,1,,,,
S150584690,Carrion Crow,Corvus corone,21186,X,CH-VS,,L27219479,Furi,46.000969,7.7279,2023-09-23,01:34 PM,Black,Black,Black,eBird - Casual Observation,,0,,,1,,,,
S150531380,Hooded Crow,Corvus cornix,21189,X,IT-21,,L27159599,Stresa,45.885627,8.535828,2023-09-23,,Grey,Black,Black,eBird - Casual Observation,,0,,,1,,,,
S157988499,Common Raven,Corvus corax,21235,X,US-CA,Calaveras,L26428605,Cabin,38.247725,-120.344165,2024-01-03,03:50 PM,Black,Black,Black,eBird - Casual Observation,,0,,,1,,,,
S148771317,Black-capped Chickadee,Poecile atricapillus,21676,X,US-MN,Crow Wing,L26866556,Karen’s House,46.472745,-93.949242,2023-09-02,09:13 AM,Grey,Black,Black,eBird - Casual Observation,,0,,,1,,,,
S148404987,Black-capped Chickadee,Poecile atricapillus,21676,X,US-MN,Hubbard,L26821489,Jim’s Cottage,47.00078,-94.924378,2023-08-29,03:00 PM,Grey,Black,Black,eBird - Casual Observation,,0,,,1,,,,
S147384562,Black-capped Chickadee,Poecile atricapillus,21676,X,CA-ON,Parry Sound,L26589448,Cottage,45.621053,-80.421,2023-08-16,06:20 AM,Grey,Black,Black,eBird - Casual Observation,,0,,,1,,,,
S146590075,Mountain Chickadee,Poecile gambeli,21688,X,US-CA,Calaveras,L26428605,Cabin,38.247725,-120.344165,2023-08-06,06:59 AM,Grey,Black,Black,eBird - Casual Observation,,0,,,1,,,,
S158028464,Mountain Chickadee,Poecile gambeli,21688,X,US-CA,Calaveras,L28621470,Gertrude,38.246769,-120.341179,2024-01-04,07:44 AM,Grey,Black,Black,eBird - Casual Observation,,0,,,1,,,,
S144915463,Chestnut-backed Chickadee,Poecile rufescens,21705,X,US-KS,Brown,L26023516,Home,39.683228,-95.78558,2023-07-18,,Chestnut,Brown,Grey,eBird - Casual Observation,,0,,,1,,,,
S145539099,Chestnut-backed Chickadee,Poecile rufescens,21705,X,US-CA,Contra Costa,L26023043,Home,37.772798,-121.955052,2023-07-24,04:42 PM,Chestnut,Brown,Grey,eBird - Casual Observation,,0,,,1,,,,
S146135216,Chestnut-backed Chickadee,Poecile rufescens,21705,X,US-CA,Contra Costa,L26023043,Home,37.772798,-121.955052,2023-07-31,03:48 PM,Chestnut,Brown,Grey,eBird - Casual Observation,,0,,,1,,,,
S156250614,Chestnut-backed Chickadee,Poecile rufescens,21705,X,US-CA,Contra Costa,L26023043,Home,37.772798,-121.955052,2023-12-13,09:32 AM,Chestnut,Brown,Grey,eBird - Casual Observation,,0,,,1,,,,
S145281285,Oak Titmouse,Baeolophus inornatus,21761,X,US-CA,Contra Costa,L26023043,Home,37.772798,-121.955052,2023-07-22,08:12 AM,Grey,Light Brown,Grey,eBird - Casual Observation,,0,,,1,,,,
S146135238,Oak Titmouse,Baeolophus inornatus,21761,X,US-CA,Contra Costa,L26023043,Home,37.772798,-121.955052,2023-07-31,03:48 PM,Grey,Light Brown,Grey,eBird - Casual Observation,,0,,,1,,,,
S153054059,Oak Titmouse,Baeolophus inornatus,21761,X,US-CA,Contra Costa,L26023043,Home,37.772798,-121.955052,2023-10-25,12:23 PM,Grey,Light Brown,Grey,eBird - Casual Observation,,0,,,1,,,,
S153202286,Oak Titmouse,Baeolophus inornatus,21761,X,US-CA,Contra Costa,L26023043,Home,37.772798,-121.955052,2023-10-27,03:23 PM,Grey,Light Brown,Grey,eBird - Casual Observation,,0,,,1,,,,
S156250701,Oak Titmouse,Baeolophus inornatus,21761,X,US-CA,Contra Costa,L26023043,Home,37.772798,-121.955052,2023-12-13,09:32 AM,Grey,Light Brown,Grey,eBird - Casual Observation,,0,,,1,,,,
S173212206,Tufted Titmouse,Baeolophus bicolor,21771,X,US-CT,New London,L31511996,Dennison Homestead,41.362597,-71.9461,2024-05-09,12:46 PM,White,Grey,Black,eBird - Casual Observation,,0,,,1,,,,
S150121656,Violet-green Swallow,Tachycineta thalassina,23659,X,US-CA,Contra Costa,L26291492,Home,37.772468,-121.954731,2023-09-17,,Green,White,Black,eBird - Casual Observation,,0,,,1,,,,
S146512461,Barn Swallow,Hirundo rustica,23772,X,US-CA,Calaveras,L26409660,Arnold Meadowmont,38.239785,-120.363327,2023-08-05,10:15 AM,Blue,Chestnut,Black,eBird - Casual Observation,,0,,,1,,,,
S160210140,Bushtit,Psaltriparus minimus,24829,X,US-CA,Contra Costa,L26291492,Home,37.772468,-121.954731,2024-01-30,,White,Grey,Black,eBird - Casual Observation,,0,,,1,,,,
S168007607,Wrentit,Chamaea fasciata,25004,X,US-CA,Monterey,L30507545,Hacienda,36.526046,-121.682563,2024-04-10,,Light Brown ,Grey,Black,eBird - Casual Observation,,0,,,1,,,,
S168007197,Wrentit,Chamaea fasciata,25004,X,US-CA,Monterey,L30507545,Hacienda,36.526046,-121.682563,2024-04-10,08:27 AM,Light Brown ,Grey,Black,eBird - Casual Observation,,0,,,1,,,,
S153442894,Ruby-crowned Kinglet,Corthylio calendula,26391,X,US-CA,Contra Costa,L26291492,Home,37.772468,-121.954731,2023-10-30,,Light Grey,Red,Black,eBird - Casual Observation,,0,,,1,,,,
S148771268,White-breasted Nuthatch,Sitta carolinensis,26436,X,US-MN,Crow Wing,L26866556,Karen’s House,46.472745,-93.949242,2023-09-02,09:13 AM,Blue Grey,White,Black,eBird - Casual Observation,,0,,,1,,,,
S148446432,White-breasted Nuthatch,Sitta carolinensis,26436,X,US-MN,Hubbard,L26821489,Jim’s Cottage,47.00078,-94.924378,2023-08-30,09:12 AM,Blue Grey,White,Black,eBird - Casual Observation,,0,,,1,,,,
S147386070,White-breasted Nuthatch,Sitta carolinensis,26436,X,CA-ON,Parry Sound,L26604930,Cottage,45.620504,-80.420971,2023-08-16,07:05 AM,Blue Grey,White,Black,eBird - Casual Observation,,0,,,1,,,,
S150120450,Red-breasted Nuthatch,Sitta canadensis,26484,X,US-KS,Cloud,L27131159,Home,39.558246,-97.51876,2023-09-17,,Chestnut,Blue Grey,Brown,eBird - Casual Observation,,0,,,1,,,,
